"Filename","Status","Headline","Description","AltText","ExtendedDescription","Keywords"
"PX-20260815-0903.jpg","PROOF","275 Wickham Street, Fortitude Valley, August 2026","Kooii Apartments' white-louvred tower dominates the frame from street level, its vertical louvres stacked in a repeating grid. 22 Constance Street sits at the far end of the block, its low, dark-panelled form clearly smaller in scale.","Kooii Apartments tower viewed from street level near Constance Street, Fortitude Valley, Brisbane.","This closer framing of Kooii Apartments, formerly marketed as Utopia Space, documents the tower's scale against the surrounding low-rise Constance Street fabric.","Australia, Queensland, Brisbane, Fortitude Valley, Completed Development, 2026, residential, residential tower, apartment, high rise, tower, glass, metal, screen, grid, street view, upward perspective, wide view, daylight, clear sky, Kooii Apartments, 275 Wickham Street, 22 Constance Street"
"PX-20260815-0905.jpg","PROOF","Ann Street (at Constance Street), Fortitude Valley, August 2026","A fenced, grassed lot serves as an interim private car park, screened by a mature tree at the footpath edge. 825 Ann Street and 22 Constance Street stand along the lot's far boundary. Kooii Apartments' tower is visible through the trees on the right of the frame.","Fenced vacant lot used as a car park, Ann Street at Constance Street, Fortitude Valley, Brisbane.","This vacant, fenced parcel functions as an interim car park within the Constance Street block, pending its own redevelopment.","Australia, Queensland, Brisbane, Fortitude Valley, Fenced Development Site, 2026, high rise, residential tower, commercial, tree, fence, temporary fencing, lawn, footpath, urban renewal, street view, wide view, daylight, clear sky, 825 Ann Street, 22 Constance Street, Kooii Apartments, 275 Wickham Street"
"PX-20260815-0910-Pano.jpg","PROOF","275 Wickham Street, Fortitude Valley, August 2026","Kooii Apartments' podium is clad in white panelling patterned with stepped grey diagonal lines, capped by a rooftop terrace planted with shrubs and small trees. The glazed residential tower rises directly above.","Patterned podium and rooftop terrace of Kooii Apartments, Fortitude Valley, Brisbane.","The podium's graphic pattern is a distinguishing material feature of Kooii Apartments (formerly Utopia Space), separating the building's private car park base from its residential floors above.","Australia, Queensland, Brisbane, Fortitude Valley, Completed Development, 2026, residential, residential tower, apartment, high rise, tower, glass, rendered finish, grid, screen, planting, parking structure, fence, close view, detail view, daylight, clear sky, Kooii Apartments, 275 Wickham Street"
"PX-20260815-0913.jpg","PROOF","275 Wickham Street, Fortitude Valley, August 2026","Kooii Apartments is framed here from below, its white vertical mullions receding upward against the sky. The same patterned podium continues along the building's base at street level, where a private car park sign marks the entrance behind the fence.","Upward view of Kooii Apartments tower, Fortitude Valley, Brisbane.","This oblique upward framing from street level emphasises the tower's height, its vertical mullions receding unbroken toward the roofline.","Australia, Queensland, Brisbane, Fortitude Valley, Completed Development, 2026, residential, residential tower, apartment, parking structure, high rise, tower, glass, rendered finish, signage, upward perspective, oblique view, wide view, daylight, clear sky, Kooii Apartments, 275 Wickham Street"
"PX-20260815-0916.jpg","PROOF","275 Wickham Street, Fortitude Valley, August 2026","Kooii Apartments' full elevation is visible here from the street, the patterned podium wall running the length of the block before the tower rises above. The podium houses a private car park at ground level. A one-way street sign marks the corner in the foreground.","Full street elevation of Kooii Apartments, Fortitude Valley, Brisbane, with its ground-level private car park.","This street-level view sets Kooii Apartments' patterned podium wall against the surrounding low-rise commercial buildings visible further down the block.","Australia, Queensland, Brisbane, Fortitude Valley, Completed Development, 2026, residential, residential tower, apartment, parking structure, high rise, tower, glass, rendered finish, wayfinding, signage, street level, street view, wide view, daylight, clear sky, Kooii Apartments, 275 Wickham Street"
"PX-20260815-0919.jpg","PROOF","St Pauls Terrace (at Constance Street), Fortitude Valley, August 2026","A fragment of Kooii Apartments' louvred tower closes the left edge of the frame, with an Optus-branded office tower standing opposite on the right. The street continues past Benson's brick facade and NEXTDC's Brisbane Data Centre, its Stage 2 expansion rising under construction, toward 191 Constance Street and the heritage Jubilee Hotel at the St Pauls Terrace corner.","St Pauls Terrace corridor toward Constance Street, Fortitude Valley, Brisbane, with Kooii Apartments and an Optus office tower in the foreground.","This view sits within the St Pauls Terrace and Constance Street corridor in Fortitude Valley, connecting the Kooii Apartments block to the data centre, hotel and residential buildings further along St Pauls Terrace.","Australia, Queensland, Brisbane, Fortitude Valley, Existing Condition, 2026, residential, residential tower, apartment, commercial, office, industrial, hospitality, pub, heritage, heritage architecture, high rise, tower, glass, metal, brick, face brick, concrete, crane, scaffolding, construction impact, street level, streetscape, wide view, context view, daylight, clear sky, Kooii Apartments, 275 Wickham Street, Optus, Benson, 465 St Pauls Terrace, NEXTDC, 454 St Pauls Terrace, 470 St Pauls Terrace, 191 Constance Street, Jubilee Hotel"
"PX-20260815-0920.jpg","PROOF","275 Wickham Street, Fortitude Valley, August 2026","Kooii Apartments stands beside the Valley Metro Car Park's mesh-screened upper levels, the two structures sharing a boundary fence. A mural-covered wall continues along the car park's base, visible from the lower street below.","Kooii Apartments beside the Valley Metro Car Park, Fortitude Valley, Brisbane.","This view shows Kooii Apartments sharing a boundary fence with the neighbouring Valley Metro Car Park, the two structures meeting at the street frontage.","Australia, Queensland, Brisbane, Fortitude Valley, Completed Development, 2026, residential, residential tower, apartment, parking structure, industrial, high rise, tower, glass, metal, mural, fence, street view, wide view, elevated view, daylight, clear sky, Kooii Apartments, 275 Wickham Street, Valley Metro Car Park, 52 Alfred Street"
"PX-20260815-0860-Pano.jpg","PROOF","King Street (at Alexandria Street), Bowen Hills, August 2026","A fenced vacant site occupies the corner of King Street and Alexandria Street, its mural-covered hoarding running the full frontage. 25 King, an office tower with a dark glazed curtain wall, stands at the far end of the site. Exhibition Place, a residential tower banded in cream and pale grey precast panels with a rounded, canted corner, rises beyond the intersection. Directional signage marks the corner in the foreground.","Fenced vacant site at King Street and Alexandria Street, Bowen Hills, Brisbane, with 25 King and Exhibition Place beyond.","This fenced site sits within the Showgrounds Regeneration Project precinct, between the completed 25 King office building and the Exhibition Place residential tower, both visible here.","Australia, Queensland, Brisbane, Bowen Hills, Fenced Development Site, 2026, urban renewal, high density, mid rise, high rise, tower, glass, concrete, temporary fencing, site hoarding, mural, wayfinding, signage, tree, street light, traffic light, street view, wide view, context view, daylight, clear sky, fence, footpath, 25 King, 25 King Street, Exhibition Place, 1 Alexandria Street"
"PX-20260815-0863.jpg","PROOF","King Street (at Alexandria Street), Bowen Hills, August 2026","A fenced vacant site runs along King Street toward its corner with Alexandria Street, its hoarding wrapped in the same mural motif seen elsewhere along the block. Kingsgate's canted corner, wrapped in horizontal timber-toned louvres, closes the site's northern edge at the corner of King Street and St Pauls Terrace. 25 King's dark glazed tower is visible further down the street. No construction activity is visible within the fence line.","Fenced vacant site on King Street at Alexandria Street, Bowen Hills, Brisbane, with Kingsgate on the corner.","This fenced site sits within the Showgrounds Regeneration Project precinct, flanked by Kingsgate at the King Street and St Pauls Terrace corner and by 25 King further along the street.","Australia, Queensland, Brisbane, Bowen Hills, Fenced Development Site, 2026, urban renewal, high density, mid rise, corner building, corner tower, curved facade, tower, glass, timber, screen, concrete, temporary fencing, site hoarding, mural, street view, wide view, context view, daylight, clear sky, fence, footpath, Kingsgate, 2 King Street, 25 King, 25 King Street"
"PX-20260815-0873-Pano.jpg","PROOF","King Street, Bowen Hills, August 2026","25 King's ground floor is raised on angled concrete-and-timber piers, opening a covered arcade beneath the dark glazed tower above. Black Sheep Wine occupies the arcade at street level, its signage visible behind the glass. Further down the street, the Fortitude Valley State Secondary College's gold-and-black checked facade and the glass-clad Green Square North Tower recede into the distance.","Ground-floor arcade of 25 King with Black Sheep Wine, King Street, Bowen Hills, Brisbane, with Fortitude Valley State Secondary College and Green Square North Tower beyond.","This framing documents 25 King's ground-floor retail arcade and its raised timber-and-concrete structure. The school and office tower beyond mark the transition from King Street into the St Pauls Terrace corridor in Fortitude Valley.","Australia, Queensland, Brisbane, Bowen Hills, Completed Development, 2026, commercial, office, retail, education, school, mid rise, high rise, tower, glass, timber, concrete, screen, grid, arcade, street level, close view, street view, context view, daylight, clear sky, 25 King, 25 King Street, Fortitude Valley State Secondary College, 585 St Pauls Terrace, Green Square North Tower, 515 St Pauls Terrace"
